normalized_mpjpe,ade,fde,bone_length_mae,seed,method
0.07740915566682816,0.07740915566682816,0.13467960059642792,0.005686979275196791,42.0,ACP-STGAT
0.07759369164705276,0.07759369164705276,0.13538900017738342,0.005616460926830769,43.0,ACP-STGAT
0.08018180727958679,0.08018180727958679,0.13910016417503357,0.005973455496132374,44.0,ACP-STGAT
0.09628855437040329,0.09628855437040329,0.16469796001911163,2.3228558632126806e-07,,last_pose
0.10003869235515594,0.10003869235515594,0.22710329294204712,0.024869365617632866,,constant_velocity
